"CRIM";"ZN";"INDUS";"CHAS";"NOX";"RM";"AGE";"DIS";"RAD";"TAX";"PTRATIO";"B";"LSTAT"
0,06129;20;3,33;1;0,4429;7,645;49,7;5,2119;5;216;14,9;377,07;3,01
0,85204;0;8,14;0;0,538;5,965;89,2;4,0123;4;307;21;392,53;13,83
4,26131;0;18,1;0;0,77;6,112;81,3;2,5091;24;666;20,2;390,74;12,67
0,46296;0;6,2;0;0,504;7,412;76,9;3,6715;8;307;17,4;376,14;5,25
0,03871;52,5;5,32;0;0,405;6,209;31,3;7,3172;6;293;16,6;396,9;7,14
0,63796;0;8,14;0;0,538;6,096;84,5;4,4619;4;307;21;380,02;10,26
0,10959;0;11,93;0;0,573;6,794;89,3;2,3889;1;273;21;393,45;6,48
1,42502;0;19,58;0;0,871;6,51;100;1,7659;5;403;14,7;364,31;7,39
0,17899;0;9,69;0;0,585;5,67;28,8;2,7986;6;391;19,2;393,29;17,6
4,0974;0;19,58;0;0,871;5,468;100;1,4118;5;403;14,7;396,9;26,42
0,00632;18;2,31;0;0,538;6,575;65,2;4,09;1;296;15,3;396,9;4,98
0,08187;0;2,89;0;0,445;7,82;36,9;3,4952;2;276;18;393,53;3,57
0,08707;0;12,83;0;0,437;6,14;45,8;4,0905;5;398;18,7;386,96;10,27
0,16902;0;25,65;0;0,581;5,986;88,4;1,9929;2;188;19,1;385,02;14,81
0,7842;0;8,14;0;0,538;5,99;81,7;4,2579;4;307;21;386,75;14,67
0,13158;0;10,01;0;0,547;6,176;72,5;2,7301;6;432;17,8;393,3;12,04
9,51363;0;18,1;0;0,713;6,728;94,1;2,4961;24;666;20,2;6,68;18,71
14,3337;0;18,1;0;0,7;4,88;100;1,5895;24;666;20,2;372,92;30,62
1,38799;0;8,14;0;0,538;5,95;82;3,99;4;307;21;232,6;27,71
18,0846;0;18,1;0;0,679;6,434;100;1,8347;24;666;20,2;27,25;29,05
